N,Area,RelativeError
100,0.98,0.0375671
600,0.694167,0.265057
1100,1.01341,0.0729388
1600,0.888125,0.0597048
2100,0.968333,0.0252152
2600,0.810385,0.142012
3100,0.790323,0.163252
3600,0.901736,0.0452941
4100,1.00091,0.0597103
4600,0.894783,0.0526561
5100,0.972794,0.029938
5600,0.879375,0.0689688
6100,0.93582,0.00920842
6600,0.97072,0.0277417
7100,0.862676,0.0866486
7600,0.870395,0.0784765
8100,0.981512,0.0391683
8600,0.972878,0.0300267
9100,0.934231,0.0108907
9600,0.977448,0.0348651
10100,0.941188,0.00352462
10600,0.901415,0.045634
11100,0.930338,0.0150123
11600,0.962047,0.01856
12100,0.926343,0.0192418
12600,0.917778,0.0283101
13100,0.915477,0.030746
13600,0.915147,0.0310954
14100,0.927004,0.0185424
14600,0.950634,0.00647566
15100,0.944305,0.000225036
15600,0.952516,0.00846871
16100,0.941196,0.00351665
16600,0.988855,0.0469428
17100,0.947763,0.00343665
17600,0.972344,0.0294612
18100,0.896754,0.0505687
18600,0.925995,0.0196106
19100,0.883154,0.0649673
19600,0.930625,0.0147082
20100,0.928197,0.0172794
20600,0.96335,0.0199386
21100,0.996836,0.0553926
21600,0.905706,0.041091
22100,0.941753,0.00292614
22600,0.973496,0.0306806
23100,0.983182,0.0409359
23600,0.937956,0.00694712
24100,0.956618,0.0128119
24600,0.91128,0.0351891
25100,0.919482,0.0265057
25600,0.978086,0.0355406
26100,0.923209,0.0225601
26600,0.960197,0.0166013
27100,0.922592,0.0232128
27600,0.983107,0.0408565
28100,0.923763,0.021973
28600,0.970149,0.0271371
29100,0.965266,0.021968
29600,0.895988,0.0513797
30100,0.947035,0.00266559
30600,0.953979,0.0100174
31100,0.964638,0.021303
31600,0.963718,0.0203291
32100,0.940312,0.00445271
32600,0.954824,0.0109119
33100,0.918935,0.0270849
33600,0.942813,0.00180482
34100,0.920007,0.0259496
34600,0.954155,0.0102036
35100,0.932187,0.0130549
35600,0.939052,0.00578626
36100,0.967784,0.0246335
36600,0.956571,0.0127619
37100,0.968113,0.0249821
37600,0.955239,0.011352
38100,0.951063,0.00693032
38600,0.948264,0.00396717
39100,0.95055,0.00638706
39600,0.935455,0.009595
40100,0.909738,0.036822
40600,0.925991,0.019614
41100,0.964799,0.0214735
41600,0.952909,0.0088844
42100,0.968652,0.0255526
42600,0.937729,0.00718707
43100,0.903828,0.043079
43600,0.907231,0.039477
44100,0.917778,0.0283101
44600,0.936328,0.00866973
45100,0.932195,0.0130459
45600,0.9483,0.00400549
46100,0.924729,0.0209507
46600,0.949506,0.00528233
47100,0.935786,0.00924454
47600,0.943971,0.000578706
48100,0.952749,0.00871588
48600,0.950761,0.00661092
49100,0.946818,0.00243567
49600,0.945176,0.00069795
50100,0.930853,0.0144665
50600,0.91415,0.0321508
51100,0.940925,0.00380356
51600,0.929908,0.0154674
52100,0.952255,0.00819264
52600,0.953218,0.00921158
53100,0.933169,0.0120153
53600,0.924692,0.0209896
54100,0.958036,0.014313
54600,0.936026,0.00899036
55100,0.941538,0.00315407
55600,0.98661,0.0445651
56100,0.951176,0.00705046
56600,0.946453,0.00204972
57100,0.956187,0.0123548
57600,0.94661,0.00221601
58100,0.93762,0.00730183
58600,0.939027,0.00581237
59100,0.937716,0.00720098
59600,0.925122,0.0205349
60100,0.93475,0.0103405
60600,0.937752,0.00716296
61100,0.911031,0.0354531
61600,0.952955,0.00893299
62100,0.950411,0.00623963
62600,0.940667,0.00407642
63100,0.968158,0.0250292
63600,0.915668,0.0305436
64100,0.970062,0.0270458
64600,0.920077,0.0258754
65100,0.941237,0.00347334
65600,0.947881,0.00356151
66100,0.952387,0.00833161
66600,0.955905,0.0120564
67100,0.991867,0.0501308
67600,0.946476,0.00207345
68100,0.947621,0.00328629
68600,0.928929,0.0165043
69100,0.944012,0.000534543
69600,0.926318,0.019268
70100,0.939108,0.00572649
70600,0.94148,0.00321542
71100,0.942613,0.00201655
71600,0.950573,0.00641115
72100,0.932767,0.0124404
72600,0.930055,0.0153116
73100,0.951679,0.00758273
73600,0.939888,0.00490121
74100,0.944291,0.000238945
74600,0.94059,0.00415808
75100,0.938079,0.00681614
75600,0.950185,0.00600095
76100,0.932674,0.0125388
76600,0.941619,0.00306864
77100,0.941232,0.00347799
77600,0.938956,0.00588766
78100,0.954904,0.0109969
78600,0.93153,0.0137502
79100,0.955686,0.0118247
79600,0.951068,0.00693545
80100,0.951248,0.00712666
80600,0.948691,0.00441906
81100,0.961874,0.0183766
81600,0.95583,0.0119776
82100,0.941355,0.00334788
82600,0.958051,0.0143287
83100,0.951402,0.00728916
83600,0.953185,0.00917678
84100,0.940235,0.0045339
84600,0.93656,0.00842431
85100,0.94027,0.00449639
85600,0.940932,0.00379615
86100,0.950264,0.00608463
86600,0.937705,0.00721238
87100,0.959888,0.0162738
87600,0.954829,0.0109173
88100,0.93912,0.00571389
88600,0.954145,0.0101934
89100,0.955253,0.011366
89600,0.958809,0.0151309
90100,0.944514,2.91947e-06
90600,0.958096,0.0143765
91100,0.945576,0.00112132
91600,0.959672,0.0160456
92100,0.962842,0.0194013
92600,0.946002,0.00157163
93100,0.943289,0.00129983
93600,0.956311,0.0124871
94100,0.925845,0.0197692
94600,0.949051,0.00480042
95100,0.951661,0.00756389
95600,0.93938,0.00543871
96100,0.965596,0.0223167
96600,0.937772,0.00714169
97100,0.940512,0.00424008
97600,0.926155,0.0194406
98100,0.934671,0.0104243
98600,0.974409,0.031648
99100,0.936365,0.00863129
99600,0.95368,0.00970076
