N,Area,RelativeError
100,0.6912,0.268198
600,0.912,0.0344273
1100,1.05775,0.11988
1600,1.0188,0.0786463
2100,0.984686,0.0425281
2600,0.895015,0.0524096
3100,0.899303,0.0478699
3600,0.9712,0.0282502
4100,0.92441,0.0212886
4600,0.966678,0.0234629
5100,1.03115,0.0917249
5600,0.9576,0.0138513
6100,0.945207,0.000729867
6600,0.9216,0.0242634
7100,0.962975,0.0195417
7600,0.976168,0.0335105
8100,0.9536,0.00961636
8600,0.905526,0.041282
9100,0.943121,0.00147833
9600,0.918,0.0280749
10100,0.972356,0.0294746
10600,0.978113,0.0355695
11100,0.927827,0.0176706
11600,0.955366,0.0114856
12100,0.925408,0.0202314
12600,0.963657,0.0202643
13100,0.969527,0.0264786
13600,0.953365,0.00936724
14100,0.944068,0.000475482
14600,0.934619,0.0104794
15100,0.928466,0.0169938
15600,0.960738,0.0171741
16100,0.95845,0.0147509
16600,0.96879,0.025699
17100,0.925305,0.0203405
17600,0.960873,0.0173163
18100,0.945149,0.000669109
18600,0.914787,0.0314765
19100,0.947535,0.00319517
19600,0.928653,0.016796
20100,0.944239,0.000294733
20600,0.945367,0.000899724
21100,0.944531,1.44198e-05
21600,0.973333,0.0305089
22100,0.94219,0.00246384
22600,0.96875,0.0256568
23100,0.958255,0.0145443
23600,0.932339,0.0128936
24100,0.963665,0.0202723
24600,0.911766,0.0346752
25100,0.941106,0.00361159
25600,0.9441,0.000441692
26100,0.950069,0.0058779
26600,0.943471,0.00110798
27100,0.95497,0.0110666
27600,0.95833,0.0146247
28100,0.942918,0.00169297
28600,0.950803,0.00665484
29100,0.929715,0.0156712
29600,0.938919,0.00592712
30100,0.924662,0.0210217
30600,0.955671,0.0118086
31100,0.949381,0.0051499
31600,0.941651,0.00303494
32100,0.965024,0.0217117
32600,0.95093,0.00678958
33100,0.940394,0.00436543
33600,0.955029,0.0111288
34100,0.952849,0.00882152
34600,0.935084,0.00998689
35100,0.928985,0.016445
35600,0.931146,0.0141566
36100,0.948246,0.00394783
36600,0.949613,0.00539527
37100,0.949701,0.00548869
37600,0.935694,0.00934188
38100,0.938079,0.00681665
38600,0.938015,0.00688466
39100,0.941487,0.00320769
39600,0.941091,0.00362754
40100,0.934528,0.0105763
40600,0.950826,0.006679
41100,0.924543,0.0211474
41600,0.942092,0.00256732
42100,0.964561,0.0212208
42600,0.929307,0.0161036
43100,0.924807,0.0208676
43600,0.952382,0.00832644
44100,0.954253,0.0103078
44600,0.938389,0.00648792
45100,0.955062,0.0111639
45600,0.943453,0.00112709
46100,0.950338,0.00616224
46600,0.964738,0.0214088
47100,0.943613,0.000957576
47600,0.946528,0.00212865
48100,0.942676,0.00194924
48600,0.930607,0.0147269
49100,0.961369,0.0178413
49600,0.948194,0.00389232
50100,0.94057,0.00417899
50600,0.935943,0.00907776
51100,0.946173,0.00175307
51600,0.943144,0.00145365
52100,0.952335,0.00827677
52600,0.94591,0.00147491
53100,0.94579,0.0013474
53600,0.929122,0.0162991
54100,0.944597,8.4939e-05
54600,0.952826,0.00879729
55100,0.945434,0.000971181
55600,0.940455,0.00430115
56100,0.943059,0.00154403
56600,0.940732,0.00400737
57100,0.950047,0.00585458
57600,0.9419,0.00277092
58100,0.929531,0.0158663
58600,0.920715,0.0252
59100,0.944991,0.000501502
59600,0.939962,0.00482233
60100,0.938276,0.00660759
60600,0.943651,0.000916554
61100,0.933478,0.0116874
61600,0.950213,0.00603038
62100,0.945345,0.000876365
62600,0.942947,0.00166246
63100,0.934197,0.0109263
63600,0.955291,0.0114062
64100,0.950175,0.00599054
64600,0.951559,0.00745561
65100,0.95593,0.0120832
65600,0.946273,0.00185913
66100,0.93807,0.00682634
66600,0.960519,0.0169417
67100,0.938768,0.00608648
67600,0.947759,0.0034318
68100,0.956701,0.0128999
68600,0.95611,0.0122734
69100,0.931436,0.0138494
69600,0.942786,0.00183266
70100,0.932693,0.0125191
70600,0.943792,0.000768313
71100,0.949144,0.00489892
71600,0.936241,0.00876198
72100,0.945726,0.00128034
72600,0.937785,0.00712752
73100,0.942087,0.00257294
73600,0.945235,0.00075975
74100,0.954248,0.0103022
74600,0.953488,0.00949828
75100,0.938704,0.00615509
75600,0.933562,0.0115988
76100,0.933635,0.0115218
76600,0.960251,0.0166577
77100,0.941696,0.00298638
77600,0.941047,0.00367358
78100,0.939743,0.00505474
78600,0.937429,0.00750455
79100,0.943519,0.00105726
79600,0.945624,0.00117196
80100,0.951011,0.00687552
80600,0.951686,0.0075903
81100,0.943191,0.00140396
81600,0.957247,0.0134777
82100,0.947067,0.0027001
82600,0.940079,0.00469845
83100,0.948355,0.0040635
83600,0.942063,0.00259818
84100,0.932764,0.0124437
84600,0.937872,0.00703518
85100,0.942988,0.0016185
85600,0.949121,0.00487478
86100,0.926417,0.0191637
86600,0.943948,0.000602337
87100,0.948118,0.00381285
87600,0.937315,0.00762518
88100,0.935199,0.00986546
88600,0.941623,0.00306369
89100,0.942416,0.00222444
89600,0.937543,0.00738401
90100,0.935217,0.00984663
90600,0.941118,0.00359899
91100,0.950748,0.00659656
91600,0.94298,0.00162758
92100,0.943802,0.000757246
92600,0.943309,0.00127931
93100,0.947337,0.00298597
93600,0.948738,0.00446924
94100,0.941065,0.00365471
94600,0.939501,0.00531079
95100,0.938256,0.00662882
95600,0.948653,0.00437846
96100,0.9409,0.00382978
96600,0.956124,0.0122889
97100,0.937913,0.00699204
97600,0.937593,0.00733046
98100,0.951075,0.00694328
98600,0.945551,0.00109488
99100,0.944326,0.000202273
99600,0.943402,0.00118026
